Edition_ID	Edition_Title	Edition_Author	Edition_Location	Language	Edition_Publisher	Edition_Date	Author_VIAF	Author_WikiData_AF	Title_USTC	Title_OCLC	Entered
JV1545	Reportorio de todos los caminos de España, hasta agora nunca visto en el que allaran qualquier viaje que quiera andar muy provechoso par todos los camintanes	Pedro Juan Villuga	Medina del Campo	Spanish	Pedro de Castro;Juan de Espinosa	1545		Q16585233	USTC 340679		TRUE
JV1546A	Reportorio de todos los caminos de España	Pedro Juan Villuga	Medina del Campo	Spanish	Pedro de Castro;Juan de Espinosa	1546		Q16585233	USTC 346876		FALSE
JV1546B	Reportorio de todos los caminos de España	Pedro Juan Villuga	Valencia	Spanish		1546		Q16585233	USTC 346874		FALSE
SAA1550	Poste diverse d'Italia, Alemagna, Spagna, e Francia	Anonymous A	Milan	Italian		1550				642943450	TRUE
CE1552A	La guide des chemins de France	Charles Estienne	Paris	French	Charles Estienne	1552	VIAF116409342	Q538586	USTC 52283		TRUE
CE1552B	La guide des chemins pour aller et venir par tous les pays et contrées du royaume de France	Charles Estienne	Paris	French	Simon Calvarin	1552	VIAF116409342	Q538586	USTC 55994		FALSE
CE1552C	Les voyages de plusieurs endroits de France	Charles Estienne	Paris	French	Charles Estienne	1552	VIAF116409342	Q538586	USTC 30750		FALSE
CE1552D	Les voyages de plusieurs endroits de France	Charles Estienne	Paris	French	Charles Estienne	1552	VIAF116409342	Q538586	USTC 10244		FALSE
CE1553A	La guide des chemins de France	Charles Estienne	Paris	French	Charles Estienne	1553	VIAF116409342	Q538586	USTC 41018		TRUE
CE1553B	La guide des chemins de France	Charles Estienne	Rouen	French	Martin Le Mégissier	1553	VIAF116409342	Q538586	USTC 53298		FALSE
CE1553C	Les voyages de plusieurs endroits de France	Charles Estienne	Paris	French	Charles Estienne	1553	VIAF116409342	Q538586			FALSE
CE1553D	Les voyages de plusieurs endroits de France	Charles Estienne	Rouen	French	Martin Le Mégissier	1553	VIAF116409342	Q538586	USTC 10211		FALSE
CE1553E	La guide des chemins de France	Charles Estienne	Paris	French	Charles Estienne	1553	VIAF116409342	Q538586			FALSE
CE1554	La guide des chemins de France	Charles Estienne	Paris	French	François Regnault	1554	VIAF116409342	Q538586	USTC 95129		FALSE
CE1555A	La guide et vray enseignement des chemins du royaume de France	Charles Estienne	Paris	French	Widow of Nicolas Buffet	1555	VIAF116409342	Q538586		492077985	FALSE
CE1555B	La guide et vray enseignement des chemins du royaume de France reveve, corrigee et reaugmentee	Charles Estienne	Paris	French	Nicolas Buffet	1555	VIAF116409342	Q538586	USTC 29851		FALSE
CE1556A	La guide des chemins de France	Charles Estienne	Paris	French	Charles Estienne	1556	VIAF116409342	Q538586			FALSE
CE1556B	La guide des chemins de France	Charles Estienne	Paris	French	Jean Ruelle	1556	VIAF116409342	Q538586	USTC 30059	634803373	FALSE
CE1556C	La guide des chemins de France	Charles Estienne	Lyon	French	Benoît Rigaud	1556	VIAF116409342	Q538586			FALSE
CE1558A	La guide des chemins pour aller et venir par tout le royaume de France	Charles Estienne	Lyon	French	Benoît Rigaud;Jean Saugrain	1558	VIAF116409342	Q538586	USTC 41564		FALSE
