Location_ID	Location_Name_Standardized	Location_Name	Geoname_ID	adminName1	Location_Lat	Location_Lng	Location_Latlng	country_code	country_name
1	A Coruña	coruna;corunna;a coruña;corvigna;corugna	3119841	Galicia	43.37135	-8.396	43.37135,-8.396	ES	Spain
2	Aalst	aelst;aelft;aalst	2803449	Flanders	50.78195	5.20915	50.78195,5.20915	BE	Belgium
3	Abbeville	abbeville	3038789	Hauts-de-France	50.1	1.83333	50.1,1.83333	FR	France
4	Abensberg	abensberg;abensperg	2959842	Bavaria	48.81684	11.8498	48.81684,11.8498	DE	Germany
5	Abruzzo	abbruzzo;l abbruzzo;abruzzo;l'abbruzzo;abbruzo	3167220	Abruzzo	42.23304	13.98561	42.23304,13.98561	IT	Italy
6	Achen	achen;aach;ach;aech	3038717	Grand Est	49.04529	7.18211	49.04529,7.18211	FR	France
7	Acquapendente	acquapendente	3183516	Latium	42.74259	11.86827	42.74259,11.86827	IT	Italy
8	Acqui Terme	acqui terme;acqui;acqua	3183490	Piedmont	44.67552	8.46934	44.67552,8.46934	IT	Italy
9	Adenau	adenau;adenaw	2959489	Rheinland-Pfalz	50.38238	6.93291	50.38238,6.93291	DE	Germany
10	Affenberg	affenberg;aftenberg	11696290	Upper Austria	48.4522	14.3608	48.4522,14.3608	AT	Austria
11	Agen	agen	3038634	Nouvelle-Aquitaine	44.19991	0.62664	44.19991,0.62664	FR	France
12	Aichstrut	aichstat;aichstrut	2958915	Baden-Württemberg	48.89951	9.64944	48.89951,9.64944	DE	Germany
13	Aigle	aigle	2661834	Vaud	46.3181	6.96457	46.3181,6.96457	CH	Switzerland
14	Aiguebelle	aiguebelle	3038507	Auvergne-Rhône-Alpes	45.54393	6.30381	45.54393,6.30381	FR	France
15	Aigueperse	aigueperse	3038498	Auvergne-Rhône-Alpes	46.02255	3.20228	46.02255,3.20228	FR	France
16	Ainay-le-Château	ainay-le-château;ainay le chasteau	3038419	Auvergne-Rhône-Alpes	46.71125	2.69238	46.71125,2.69238	FR	France
17	Aire	aire	3038393	Hauts-de-France	50.63871	2.39876	50.63871,2.39876	FR	France
18	Aix-en-Provence	aix en provence;aquapendente;aix	3038354	Provence-Alpes-Côte d'Azur	43.5283	5.44973	43.5283,5.44973	FR	France
19	Alba	alba	3183364	Piedmont	44.6999	8.0347	44.6999,8.0347	IT	Italy
20	Albania	albania	783754		41	20	41,20	AL	Albania
21	Albarracín	barrasin;albarracin	3130679	Aragon	40.40818	-1.44375	40.40818,-1.44375	ES	Spain
22	albecth	albecth							
23	Albenga	arbenge;albenga	3183343	Liguria	44.04997	8.21829	44.04997,8.21829	IT	Italy
24	Alburquerque	alboquerque;alburquerque;burquech;alburquerque castello	2522183	Extremadura	39.22076	-7.00234	39.22076,-7.00234	ES	Spain
25	Alcalá Henares	alcala henares;alcalá henares;halcala de hennares;alcala;alcala de henares	3130616	Madrid	40.48205	-3.35996	40.48205,-3.35996	ES	Spain
26	Alcalá la Real	alcala real;alcalá la real	2522160	Andalusia	37.4614	-3.92301	37.4614,-3.92301	ES	Spain
27	Alcázar de San Juan	alcázar de san juan;alcacar consuegra	2522131	Castille-La Mancha	39.39011	-3.20827	39.39011,-3.20827	ES	Spain
28	Aldea	aldea	2522073	Extremadura	39.28874	-6.31806	39.28874,-6.31806	ES	Spain
29	Alençon	alençon;alencon;alanzon	3038230	Normandy	48.43476	0.09311	48.43476,0.09311	FR	France
30	Alessandria	alexandria;alessandria	3183299	Piedmont	44.90924	8.61007	44.90924,8.61007	IT	Italy
31	Alicante	alicante;alicantes	2521978	Valencia	38.34517	-0.48149	38.34517,-0.48149	ES	Spain
32	Almagro	almagro	2521928	Castille-La Mancha	38.88941	-3.71131	38.88941,-3.71131	ES	Spain
