Route_ID	Route_Comb	Dup_Bw_Titles	Dup_Bw_Authors	Source_ID	Target_ID_All	Target_ID_0	Edition_ID	Matched_Entries	Last_Date	First_Date	Duration	Source_ID	Source_Location_Name_Standardized	Target_ID	Target_Location_Name_Standardized	interregional	international
1	1;234	FALSE	FALSE	1	234	234	JV1545	24	1545	1545	0	1	A Coruña	234	Cabo Finisterre	FALSE	FALSE
2998	1269;234	TRUE	TRUE	1269	234	234	GH1563;GH1564A;GH1564B;AM1568;LA1597;TT1604;TT1605;AM1605;TT1615;TT1618;OC1623;TT1629;AM1650;GS1655;GS1662B;GS1663;GS1673;AM1679	1161;1442;1579;2217;4116;5185;5431;5519;6556;7105;7753;8297;8852;9182;9532;9778;10414;11321	1679	1563	116	1269	Santiago Compostella	234	Cabo Finisterre	FALSE	FALSE
3001	1269;786;1111	FALSE	FALSE	1269	786;1111	786	LA1597	4115	1597	1597	0	1269	Santiago Compostella	786	Lisbon	TRUE	TRUE
2880	1181;786	TRUE	FALSE	1181	786	786	GM1684;GM1685;GM1687	11644;11750;11848	1687	1684	3	1181	Rome	786	Lisbon	TRUE	TRUE
588	230;786	TRUE	TRUE	230	786	786	GH1563;GH1564A;GH1564B;AM1568;AM1605;AM1650;AM1679;GM1684;GM1685;GM1687	1118;1399;1536;2156;5457;8790;11259;11661;11767;11865	1687	1563	124	230	Burgos	786	Lisbon	TRUE	TRUE
589	230;786;1413;1463;40;24	FALSE	FALSE	230	786;1413;1463;40;24	786	GV1720	12253	1720	1720	0	230	Burgos	786	Lisbon	TRUE	TRUE
3362	1463;786	TRUE	TRUE	1463	786	786	SAB1562B;GH1563;GH1564A;GH1564B;GH1598A;TT1604;TT1605;OC1608;OC1611;TT1615;OC1616;TT1618;OC1620;OC1623;TT1629;JW1641;GS1655;GS1662B;GS1663;OC1666;GS1673;OC1676	1012;1070;1353;1488;4302;5178;5424;5754;6069;6549;6743;7098;7296;7774;8290;8361;9175;9525;9771;10065;10407;10637	1676	1562	114	1463	Valladolid	786	Lisbon	TRUE	TRUE
26	24;786	FALSE	FALSE	24	786	786	JV1545	70	1545	1545	0	24	Alburquerque	786	Lisbon	TRUE	TRUE
310	111;786	TRUE	TRUE	111	786	786	AM1568;RV1576;AM1605;GMA1612;GMA1625;AM1650;AM1679	2163;2436;5464;6288;8020;8797;11266	1679	1568	111	111	Barcelona	786	Lisbon	TRUE	TRUE
1086	447;786	TRUE	FALSE	447	786	786	AM1568;AM1605;AM1650;AM1679	2178;5479;8812;11281	1679	1568	111	447	Evora	786	Lisbon	TRUE	FALSE
1836	833;786	TRUE	FALSE	833	786	786	OC1608;OC1611;OC1616;OC1620;OC1623;OC1666;OC1676	5768;6083;6757;7310;7775;10079;10651	1676	1608	68	833	Madrid	786	Lisbon	TRUE	TRUE
1962	868;786	FALSE	FALSE	868	786	786	LA1597	4101	1597	1597	0	868	Medina del Campo	786	Lisbon	TRUE	TRUE
2962	1249;786	TRUE	TRUE	1249	786	786	GH1563;GH1564A;GH1564B;AM1568;TT1604;TT1605;AM1605;TT1615;TT1618;TT1629;AM1650;GS1655;GS1662B;GS1663;GS1673;AM1679	1164;1445;1582;2222;5176;5422;5524;6547;7096;8288;8857;9173;9523;9769;10405;11326	1679	1563	116	1249	Salamanca	786	Lisbon	TRUE	TRUE
2963	1249;786;308	FALSE	FALSE	1249	786;308	786	LA1597	4113	1597	1597	0	1249	Salamanca	786	Lisbon	TRUE	TRUE
2993	1263;786	FALSE	FALSE	1263	786	786	JV1545	60	1545	1545	0	1263	Santa Maria	786	Lisbon	TRUE	FALSE
3036	1312;786	TRUE	TRUE	1312	786	786	JV1545;GH1563;GH1564A;GH1564B;AM1568;RV1576;LA1597;LA1597;TT1604;TT1605;AM1605;GMA1612;TT1615;TT1618;GMA1625;TT1629;AM1650;GS1655;GS1662B;GS1663;GS1673;AM1679;GM1684;GM1685;GM1687	57;1155;1436;1573;2211;2418;4121;4122;5169;5415;5512;6271;6540;7089;8003;8281;8845;9166;9516;9762;10398;11314;11669;11775;11873	1687	1545	142	1312	Seville	786	Lisbon	TRUE	TRUE
3037	1312;786;979;1055	FALSE	FALSE	1312	786;979;1055	786	GV1720	12261	1720	1720	0	1312	Seville	786	Lisbon	TRUE	TRUE
3174	1406;786	TRUE	TRUE	1406	786	786	DW1595;LA1597	2868;4142	1597	1595	2	1406	Toledo	786	Lisbon	TRUE	TRUE
3327	1460;786	FALSE	FALSE	1460	786	786	RV1576	2433	1576	1576	0	1460	Valence	786	Lisbon	TRUE	TRUE
3345	1461;786	TRUE	TRUE	1461	786	786	AM1568;AM1605;GMA1612;GMA1625;AM1650;AM1679	2264;5566;6286;8018;8899;11368	1679	1568	111	1461	Valencia	786	Lisbon	TRUE	TRUE
3629	1572;786	TRUE	TRUE	1572	786	786	GH1563;GH1564A;GH1564B;TT1604;TT1605;OC1608;OC1611;TT1615;OC1616;TT1618;OC1620;OC1623;TT1629;GS1655;GS1662B;GS1663;OC1666;GS1673;OC1676	1124;1405;1542;5174;5420;5781;6097;6545;6770;7094;7324;7818;8286;9171;9521;9767;10092;10403;10664	1676	1563	113	1572	Zaragoza	786	Lisbon	TRUE	TRUE
3002	1269;1239	TRUE	TRUE	1269	1239	1239	JV1545;GH1563;GH1564A;GH1564B;AM1568;AM1605;AM1650;AM1679;GM1684;GM1685;GM1687	26;1162;1443;1580;2218;5520;8853;11322;11670;11776;11874	1687	1545	142	1269	Santiago Compostella	1239	Saint-Jean-Pied-de-Port	TRUE	TRUE
3003	1269;1239;1056;1056;1183	FALSE	FALSE	1269	1239;1056;1056;1183	1239	GV1720	12263	1720	1720	0	1269	Santiago Compostella	1239	Saint-Jean-Pied-de-Port	TRUE	TRUE
2485	1056;1239	TRUE	TRUE	1056	1239	1239	LA1597;OC1623	4105;7754	1623	1597	26	1056	Pamplona	1239	Saint-Jean-Pied-de-Port	TRUE	TRUE
